,Claim Description,Coverage Code,Accident Source
785,THE CLAIMANT WAS TRAVELING ON HIGHWAY 155 AND A ROCK CAME OFF OF      ROADWAY AND CRACKED FRONT WINDSHIELD AND MOMENTS LATER THE    CRACK SPREAD                                                          ACROSS HALF OF THE WINDSHIELD.,GD,Road debris/road hazard
786,WALKED ACROSS WOODEN PALLETS AND STEPPED IN THE GAP OF PALLETS ANDFELL FORWARD AND LANDED ON HER CHEST.,GB,Pallet
787,CAR IN FRONT OF OUR VAN MADE A SUDDEN STOP AND OUR VAN BUMPED INTOTHE BACK OF SAID VEHICLE. BOTH VEHICLES WERE AT AN INTERSECTION   AND ACCELERATED WHEN THE LIGHT TURNED GREEN. THE OTHER VEHICLE    THEN STOPPED TO MAKE A TURN. NO DAMAGE TO OUR VAN. THE OTHER      DRIVER REPORTS THAT WE SCRATCHED THEIR CAR. POLICE WERE NOT       NOTIFIED FOLLOWING THE ACCIDENT.,AD,Intersection accident
788,IV WAS PARKED UNOCCUPIED WHEN AN OV BACK INTO THE IV. THE IV      INCURRED A DENT TO THE FRONT P/S DOOR. THERE WERE NO INJURIES     REPORTED.,AP,Sideswipe or lane change
789,OV STOPPED FOR TRAFFIC AND IV UNABLE TO STOP AND STRUCK REAR OF   OV.,AD,Struck vehicle in rear
790,OTHER - UNKNOWN,AP,Windshield
791,CLIENT HIT PARKED THIRD PARTY  VEHICLE,AD,Insured Hit Parked TP
792,"IV WAS TRAVELLING N ON I 94, APPROACHING THE ON RAMP IN THE LEFT  LANE. IT CHANGED LANES AND STRUCK THE OV, KNOCKING IT OFF THE     ROAD. THE OV INCURRED DAMAGE TO THE FRONT BUMPER AND D/S FENDER   AND DOOR. IV INCURRED DAMAGE TO P/S FRONT BUMPER AND FENDER. THEREWERE NO INJURIES REPORTED.",AD,Sideswipe or lane change
793,FIRST RECEIVED AN LOR FOR THIS CL,AB,Struck vehicle in rear
794,V1 STRUCK V2 IN INTERSECTION,AB,Intersection accident
795,CLAIMANT ALLEGES THAT WHILE ENTERING THE MEN'S RESTROOM A METAL   PIECE FROM THE DOOR FEEL AND STRUCK HIS HEAD CAUSING AN INJURY.,GB,Alleged improper maintenance - other
796,BUS TAIL END HIT POLE AT SCHOOL WHEN LEAVING FROM SCHOOL. INCIDENTOCCURRED ON 09/07/2022,AB,Struck animal or object
797,THE IV STRUCK A BRIDGE LOST CONTROL AND STRUCK A PARKED VEHICLE.,AD,Sideswipe or lane change
798,"CUSTOMER CLAIMS WHILE TRYING TO GET A BOX OF CAT LITTER OFF THE   PALLET, THE HANDLE BROKE AND SHE FELL BACKWARDS HITTING HER RIGHT ELBOW ON THE FLOOR.",GB,Merchandise
799,CHILD BUMPED HER FOREHEAD WHILE PLAYING ON THE PLAYGROUND;        SUFFERED LACERATION.,PM,"Alleged lack of supv., park, playground"
800,VEH1 WAS DRIVING ON THE HIGHWAY WHEN THEY CAME TO A STANDSTILL    TRAFFIC THEN ALL OF A SUDDEN VEH2 HIT VEH1 FROM THE REAR WHILE    BEING STOPEED AT THE EXPRESSWAY. VEH1 - MARY KAY VEH2 - OTHER     VEHICLE,AM,Our vehicle struck in rear
801,IV AND OV COLLIDED WHILE TURNING,AD,Sideswipe or lane change
802,CUST STATES DURING THE STORM A CARTT HIT THE BACK OF HER CAR      CAUSING DAMAGE,GD,Cart
803,PROPERTY LOSS,IM,Not Otherwise Classified
804,CLAIMANT ALLEGES SHE TRIPPED OVER HOSE IN LANDSCAPING AREA WHILE  APPROACHING THE PALM MEDICAL BUILDING.,GB,Alleged improper maintenance - other
805,CLIENT REAR ENDED ANOTHER VEHICLE,AB,Struck vehicle in rear
806,"EE WAS DRIVING 218-1208 ""CHEV 2500"".EE WENT THROUGH AN            INTERSECTION WHEN OV RAN STOP LIGHT AND MADE CONTACT WITH COV.    POLICE WERE CALLED TO THE SCENE. NO INJURIES WERE REPORTED FOR    EITHER COMPANY EMPLOYEE. OV DRIVER WAS TRANSPORTED TO HOSPITAL FOROBSERVATION. OV SUSTAINED DAMAGES TO THE ENTIRE FRONT OF THE      VEHICLE. OV WAS TOWED FROM THE SCENE. COV SUSTAINED DAMAGES TO THEPASSENGER SIDE BACK QUARTER PANEL AND PASSENGER SIDE BACK CAB     DOOR. COV CAN BE SEEN AT 5112 NEAL ROA",AD,Intersection accident
807,CLMT SYLVIA MEIGHAN SLIPPED AND FELL ON SLIPPERY AREA OF FLOOR AS SHE WAS EXITING STORE LOBBY AT LOC: 300 WEST 145TH ST NY NY.,GB,Alleged Negligent Act
808,IV TURNED LEFT IN FRONT OF OV,AD,Vehicle Accident
809,CUSTOMER ALLEGED THAT SHE HAD BAD STOMACH AND EXPERIENCED DIARRHEAWITHIN 20 MINUTES OF CONSUMING THE SMOOTHIE SHE MADE WITH THE SUN WARRIOR COLLAGEN BUILDING PROTEIN PEPTIDES SHE PURCHASED IN STORE.,PA,Alleged contamination or spoilage
810,CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE,GD,Pothole
811,CUSTOMER STATES SHE STEPPED ON BROKEN GLASS,GB,Alleged Negligent Act
812,AARON WAS MAKING A LEFT TURN ONTO N. GIBBS ST FROM ADAMS WHILE HE WAS TURNING THERE WAS A LOW BRANCH THAT WAS IN AARON BLIND SPOT   AND WHILE HE WAS TURNING HE STRUCK THE BRACH AND DAMAGE THE       TRAILER UPPER PASSENGER SIDE OF THE REEFER.,AP,Other - comprehensive
813,"ASSIGNED MATTER TO ELIZABETH KOLAR, ESQ                           WARRANTY/CONTRACT",GO,Alleged Negligent Act
814,FERGUSON-FLORISSANT R-II SCHOOL DISTRICT - TEACHERS CAR WAS       SCRATCHED OVER THE COURSE OF THE SCHOOL DAY,GD,Not Otherwise Classified
815,CV STRUCK STREET PARKED IV.,AD,Our vehicle struck while parked
816,GUEST GOT HIS FINGERS STUCK IN BETWEEN ELEVATOR DOORS AS THEY WERECLOSING.,PM,Alleged improper maintenance - other
817,"LOCATION : GOLD MINE ROAD|GFL DRIVER SPEED: 50 KMH (80 KMH LIMIT)||PICK UP TRUCK DRIVER OVERSPEEDS TO PASS A CAR AND LOOSE CONTROL  GOING OVER CORNER AND STRUCK THE GFL FRONT END, THE GUY SEEMED    HIGH BY OUR DRIVER , THERE WAS PASSENGER INSIDE PICK UP TRUCK|    |DRIVES OF DODGE WALKS TO OUR DRIVER TELLS HIM "" I HAVE NO        INSURANCE FOLLOW ME I LIVE DOWN THE ROAD"" AND FLEE THE SCENE AND  DURING THE FLEEING SCENE THE PART HE AGAIN STRUCK FUEL TANK AND   FRONT RIGHT TIRE ,  DRIVER OUT OF FR",DC,Our vehicle struck by runaway vehicle
818,"ALLEGED. THE CSP HIT THE CLAIMANTS BUSH AND DAMAGED THE RETAINING WALL WHILE BACKING UP. THERE WERE NO IN INJURIES, TOWS OR POLICE  INVOLVED.",AD,Backed into vehicle or object
819,PLAINTIFF ALLEGES INJURY CAUSED BY EMBEDDED BROKEN ARM OF PARAGARDIUD.,PA,"Alleged product loss, NOC"
820,"IV TRAVELLING THROUGH GREEN LIGHT, OV MADE LEFT TURN COLLIDING    WITH IV",AD,Other vehicle turning left
821,INSURED FAILED TO STOP AT INTERSECTION STRIKING FRONT VEHICLE ALSOOWNED BY INSURED CAUSING CHAIN REACTION COLLISION WITH THREE OTHERVEHICLES                                                                                                                            MWPK09344202                                                      10801130                                                          AB01,AB,Intersection accident
822,"WHILE IV WAS TRAVELING DOWN THE INTERSTATE, A ROCK SKIPPED OFF THEROADWAY AND STRUCK THE FRONT WINDSHIELD. DAMAGE TO THE IV ONLY. NOINJURIES.",AP,Windshield
823,"ON NOVEMBER 4, 2022, MORE THAN ONE YEAR AFTER SHAH ALI HAD BEEN   ISSUED A LAND DISTURBANCE PERMIT (#LD21 000029) AND AFTER A       BUILDING PERMIT HAD BEEN ISSED (#CB20 000073), KEEDRA JACKSON.    DEPUTY DIRECTOR OF THE CITY'S PLANNING AND ZONING DEPARTMENT      ADVISED SHAH ALI THAT BECAUSE HIS PROPOSED DEVELOPMENT DID NOT    MEET THE REQUIREMENTS OF A TEXT AMENDMENT PASSED ON JULY 26, 2021,IT WOULD NEED TO APPLY FOR AND SECURE A SPECIAL LAND USE PERMIT   BEFORE A CERTIFICATE OF OCCUPANCY COUL",EO,Administrative Decision
824,CHECK REQUEST THREE HUNDRED DOLLARS AND ZERO CENTS  221123 050293,PB,e-Commerce
825,"SMALL PD THE IV DRIVER WAS PUSHING A CONTAINER THROUGH THE SERVICEROOM, WHEN THE CONTAINER MADE CONTACT WITH THE DOOR IT CAUSED     DAMAGE TO THE DOOR HANDLE AND FRAME. THERE IS NO DAMAGE TO THE    CONTAINER. THERE ARE NO INJURIES REPORTED.",AL,Struck dock/garage door
826,DRIVER SLID AND HIT ANOTHER VEHICLE.,AB,Head-on collision
827,MEMBER KWANG PARK DAMAGED SECOND PRE SOAK ARCH WITH CAR. INSURANCEIS STATE FARM 011 7753-A05-75H. AWAITING QUOTE FOR REPAIRS.,RB,"Vehicle - tractor, for semi trailer"
828,"DRIVER SIDE MIRROR COVER WAS RIPPED OFF IN THE CAR WASH, UNABLE TOLOCATE THE COVER INSIDE TUNNEL. MEMBER CAME BACK DAYS LATER.",GD,Car Wash
829,DAMAGE WAS CAUSED TO THE ENTRANCE DOOR AND TWO WINDOWS BY A       VEHICLE DRIVEN BY AN INTOXICATED CUSTOMER.,RB,Not Otherwise Classified
830,INSURED VEHICLE DRIVEN OVER THIRD PARTY PROPERTY CAUSING PROPERTY DAMAGE,AD,Driven over TP Property
831,JAMES BERNSTEIN CLAIMS THAT HE SLIPPED INSIDE THE MEN'S CUSTOMER  RESTROOM STALL WHEN HE WAS ON THE TOILET. HE SAID THAT SOMEONE    KNOCKED ON THE RESTROOM ENTRANCE DOOR AND IT STARTLED HIM. HE SAIDTHERE WAS A PUDDLE OF WATER ON THE FLOOR THAT CAUSED THE SLIP AND THAT HE HIT HIS HEAD WITH THE METAL ACCESSIBILITY HAND BAR NEXT TOTHE TOILET.,GB,Alleged Negligent Act
832,WIND CAUSED OUR TRACTOR AND TRAILER TO ROLL OVER. POTENTIAL       INJURIES TO CO-DRIVER. EMERGENCY CREWS ON SCENE RIGHT NOW. DRIVER OF VEHICLE WAS OMAR ISHTIAQ KAYANI. CO-DRIVER WAS KIANI FAISAL.   CO-DRIVER IS HEADING TO HOSPITAL RIGHT NOW.,BL,Windstorm
833,THE IV REAR-ENDED THE OV AT AN INTERSECTION. THE IV D/S FRONT     BUMPER INCURRED DAMAGE. THE OV REAR BUMPER AND TAILGATE INCURRED  DAMAGE. THERE WERE NO INJURIES REPORTED.,AD,Struck vehicle in rear
834,THE IV WAS DRIVING WHEN A ROCK HIT IT. THE WINDSHIELD HAS A CRACK THAT IS STARTING TO SPREAD. NO INJURIES REPORTED.,AP,Other - comprehensive
835,PLAINTIFF ALLEGES PRESSURE COOKER CAUSED BURNS TO HER BODY.,PA,"Alleged product loss, NOC"
836,THE IV PARKED TOO CLOSELY IN A PARKING LOT. WHEN OPENING THE DOOR IT STRUCK THE OV WHICH WAS PARKED AND OCCUPIED. THE OV INCURRED   P/S MIRROR DAMAGE. NO INJURIES WERE REPORTED.,AD,Vehicle - Door
837,SMALL PD IV WAS TURNING TO EXIT THE PARKING LOT AFTER SERVICING A CONTAINER WHEN THE D/S LOADING ARM STRUCK THE OV (PARKED VEHICLE  UNOCCUPIED). IV WAS NOT DAMAGED. OV INCURRED DAMAGE TO THE FRONT  GRILL AND AC CONDENSER. NO INJURIES WERE REPORTED.,AL,Struck parked vehicle
838,"OUR DRIVER SWERVED OUT OF WAY OF CAR INFRONT, DID NOT NOTICE CAR  IN BLIND SPOT, SIDE SWIPED THAT VEHICLE. STILL WAITING FOR PLANT  MGR TO SUBMIT ACCIDENT REPORT, WILL SEND ONCE REC'D. OTHER PARTY  FINALLY REACHED OUT TO US",AB,Sideswipe or lane change
839,"GUEST CLAIMS THEY WERE IN TOWN TO ATTEND WEDDING, HOWEVER, COULD  NOT ATTEND DUE TO BECOMING EXTREMELY ILL AFTER DINING WITH US.    GUEST SAW DOCTOR, CLAIMS TO HAVE BEEN DIAGNOSED WITH CAMPYLOBACTERINFECTION.  SUFFERED FOR FOLLOWING 2 MONTHS AND HAS NOT BEEN THE  SAME SINCE.  DID DINE AT THE HOTEL SHE STAYED AT.  CONSUMED A     COFFEE AND A CROISSANT.",PA,Alleged contamination or spoilage
840,THE CUSTOMER CLAIMS THAT SHE HAD FOOD POISONING AFTER CONSUMING   SALMON PASTA SALAD FROM THE HOT BAR.,PA,Food Product
841,CLAIMANT PROPERTY STOLEN FROM BALLROOM.,GD,Alleged Negligent Act
842,CUSTOMER IS CLAIMING DAMAGE TO HER VEHICLE BECAUSE SHE TRIED TO GOAROUND A PARKED UPS VEHICLE,AB,Non-contact accident
843,UNKNOWN VANDALIZED COMPANY.  DRILLED A HOLE IN TANK AND REMOVED   FUEL FROM UNIT.,AP,Vandalism and Malicious Mischief - Prop.
844,"THIS ACCIDENT OCCURRED ON INTERSTATE 40 WESTBOUND IN DICKSON, TN  INVOLVING 4 VEHICLES. THE HARDY BROTHERS INC. TRUCK WAS TRAVELING WEST ON I 40 IN CONGESTED TRAFFIC AND COLLIDED WITH A TRAILER THATWAS BEING TOWED BY A PICK UP TRUCK WHICH WAS STOPPED IN THE TRAVELLANE. THIS OCCURRED AT APPROXIMATELY 6:35 PM EST AND THE TRAILER  DID NOT HAVE OPERABLE TAIL LIGHTS. AFTER THE HARDY BROTHERS",AB,Struck vehicle in rear
845,A THIRD PARTY VENDOR WAS IN THE RESTAURANT AFTER HOURS INSTALLING NEW KDS TOUCH SCREENS AND HAD A HEART ATTACK.,GB,Non-contact accident
846,"SMALL PD IV WAS SERVICING A CAN, WHEN IV HAD STRUCK A MAILBOX WITHP/S OF IV CAUSING DAMAGE TO THE MAILBOX. THERE WERE NO INJURIES   REPORTED.",AL,Struck mailbox
847,"SMALL PD. CUSTOMER ALLEGES, WHILE THE IV WAS SERVICING, THE IV    CAUSED DAMAGE TO THEIR CORRAL GATE, RESULTING IN A WOODEN PLATE TOBE KNOCKED OFF. THERE WAS NO DAMAGE TO THE IV WITH NO REPORTED    INJURIES.",AL,Struck dumpster enclosure
848,CLAIMANT ALLEGES HE PURCHASED A SWEET TEA AND SOME FOOD IN THE    DRIVE THRU. HE STARTED DRINKING THE TEA ONCE HE GOT TO WORK AT    4:30AM AND BEGAN THROWING UP AROUND 4:50AM.,PA,Food Product
849,INSURED WHILE DRIVING GOT HIT BY THIRD PARTY,AP,Hit in Rear by Third Party
850,CAR TRAILER SIDE SWIPED MR. WILKINSON AS HE WAS GOING DOWN THE    HIGHWAY. CAR TRAILER DID NOT STOP. MR. WILKINSON STOPPED          IMMEDIATELY AND DID CALL THE POLICE TO REPORT THE INCIDENT.,AP,Sideswipe or lane change
851,IV ALLEGEDLY R/E OV AMAZON TRAILER.,AD,Struck vehicle in rear
852,IV STRUCK PARKED AND OCCUPIED TRUCK ON IT'S FRONT PASS SIDE BUMPERWITH REAR DRIVER'S SIDE OF TRAILER.  CONTRIBUTING FACTOR WAS AN   ILLEGALLY PARKED VEHICLE NEAR STOP SIGN AT INTERSECTION LIMITING  THE SPACE IV HAD TO OPERATE.  DAMAGE IS NOTED AS MINOR ON THE     POLICE REPORT,AB,Struck parked vehicle
853,"MEDICAL EMERGENCY - GUEST CAME TO PICK UP RENTAL AND FELT DIZZY,  GASPING FOR AIR. CPR STARTED AND AED USED. EMS CAME AND TOOK THE  GUEST TO THE HOSPITAL.",GB,Health Hazard
854,"CLAIMANT ALLEGES HE ATE AT THE RESTAURANT AND SUSTAINED FOOD      POISONING.CLAIMANT HAD SYMPTOMS OF SEVERE NAUSEA, VOMITING AND    DIARRHEA.",PA,Alleged contamination or spoilage
855,"THE IV WAS ATTEMPTING TO MAKE A RIGHT TURN, WHEN IT WAS SIDE      SWIPED BY THE OV, WHICH FLED THE SCENE.",AD,Sideswipe or lane change
856,E. SEKAS/GL/CLAIMANT ALLEGES SHE SUSTAINED INJURIES.,GB,Alleged Negligent Act
857,"PROPERTY DAMAGED DESCRIPTION: MARISSA CALLED ME AT 11:05AM. SHE   SAID THAT WHILE SHE WAS SERVICING THE SECOND CART AT 200 W TINSLEYRD, ROBINSON, SHE HIT                                             THE MAILBOX AND KNOCKED IT INTO THE DITCH. I WENT TO THE CUSTOMERSHOUSE AND NO ONE WAS HOME. WM RM LEFT A CARD.",AL,Struck mailbox
858,"CUSTOMER CALLED OUR DISTRICT MANAGER, TJ TELLEZ, ON NOVEMBER 22ND AND STATED THAT HER TRUCK BROKE DOWN WHILE SHE WAS DRIVING. WHEN  SHE TOOK HER TRUCK INTO THE SHOP, THEY NOTED THAT SMELLED DIESEL  FUEL AND RECOMMENDED CLEANING HER FUEL LINES. THEY DID CLEAN OUT  THE THE TANK AND FUEL LINE AND REPLACED THE SPARK PLUGS. ALICE IS LOOKING FOR COMPENSATION FOR REPAIRS.",GD,Alleged service or maint.- vendor/retailer
859,"THIS IS AN ESTIMATE TO MAKE NECESSARY REPAIRS CAUSED BY WATER     DAMAGE THIS ESTIMATE IS GOOD FOR 30 DAYS FROM 3/30/2023 FOR THE   AMOUNT OF 100,483.94",RB,"Plumbing,Heating,AC,Discharge,Overflowing"
860,IV TURNING LEFT TO GO NORTH WHEN OV TRIED TO PASS IV              OTHER,AD,Sideswipe or lane change
861,OTHER VEHICLE TRIED TO GET IN FRONT OF HIM AND HIT FRONT DRIVER   SIDE. OTHER VEHICLE RAN OVER THE MEDIAN AND HIT A TREE.,AB,Sideswipe or lane change
862,PLAINTIFF ALLEGES INJURY CAUSED BY EMBEDDED BROKEN ARM OF PARAGARDIUD.,PA,"Alleged product loss, NOC"
863,REFRIG RECALL EXPANSION/REFRIG DOOR DETACHMENT/ALLEGED MINOR      INJURY,PA,"Alleged design flaw, defect"
864,SMALL PDTHE CUST CLAIMS WHILE IV DRIVER WAS SERVICING THE CUST    LOCATION THAT DAMAGE WAS DONE TO THE ENCLOSURE FENCE AND THE PIPE CONNECTED TO THE GUTTER SYSTEM. NO INJURIES.,AL,Accidental disposal of property/object
865,"UPON MY ARRIVAL, I SPOKE WITH CPL. C. POLLARD, WHO STATED WHILE   TRAVELING EASTBOUND ON SOUTH FULTON PKWY IN HIS ASSIGNED PATROL   VEHICLE, A GRAY 2019 DODGE CHARGER BEARING GA. GV2933N VIN        2C3CDXAT5KH692505, AND AS HE WAS APPROACHING THE INTERSECTION OF  DERRICK RD., A VEHICLE SILVER 2013 HYUNDAI TUCSON BEARING GA TAG  RYL5440 VIN KM8JUCAC2DU723345 MADE A LEFT TURN FROM SOUTH FULTON  PKWY TO DERRICK RD CAUSING HIM TO COLLIDE WITH THE VEHICLE. IN THECOLLITION CPL. POLLARD CITY OF SOUTH F",AP,Intersection accident
866,TRAFFIC STOPPED ABRUPTLY AND IV REAR ENDED OV IN FRONT.,AP,Struck vehicle in rear
867,"SMALL PD IV (CONTAINER) WAS DELIVERED AND BELIEVED TO BE LEFT ON ASLOPE. FOR REASONS NOT KNOWN THE IV (CONTAINER) ROLLED INTO THE   OV, WITH THE TRUNNION BAR STRIKING THE SLIDING DOOR WINDOW OF THE OV, CAUSING THE WINDOW TO SHATTER. THERE WERE NO INJURIES REPORTED",GL,Struck animal or object
868,SMALL PD. THE IV DRIVER WAS PULLING OVER THE IV TO SERVICE A      CUSTOMER'S LOCATION WHEN THE SIDE OF THE IV CAUGHT ON TO AN OPEN  MAILBOX LID. CAUSING THE MAILBOX TO TWIST OFF OF IT'S POST AS A   RESULT. THE IV INCURRED NO DAMAGE AND NO INJURIES HAVE BEEN       REPORTED.,AL,Struck mailbox
869,MBR WAS GIVEN DEXTROAMPHETAMINE/AMPHETAMINE ER 15MG CAP INSTEAD OFPRESCRIBED DEXTROAMPHETAMINE ER 15MG CAP.,PL,Pharmacist
870,"""OTHER DRIVER DRIFTED OVER YELLOW LINE, HITTING MY SIDE VIEW      MIRROR. DRIVER DID NOT STOP. IT WAS DARK AND RAINING. I COULD NOT IDENTIFY VEHICLE"".",AP,Not Otherwise Classified
871,"THE INSURED LOCATION HAD A LEAK TO THE ROOF CAUSING PLASTER DAMAGETO THE ENTRY WAY, DINING ROOM AND THE STAIR WELL.",RB,Rain
872,IV CATALYTIC CONVERTER STOLEN.,AP,Theft
873,CUSTOMER INDICATED SEVERAL OF HER CLOTHING ITEMS WERE DAMAGED     (SNAGGED) FROM THE EDGES OF THE MESH ELFA DRAWERS,PB,Alleged damage to property of others
874,CLMNT STATES AIR OZONE MACHINE LEFT IN GST ROOM CAUSED BREATHING ISSUES. EMS WAS CALLED AND CLEARED GUEST.,GB,Chemicals - Property
875,A PERSON WHO WAS WANTED BY THE POLICE WAS RECOGNIZED WHILE INSIDE THE STORE AND ARRESTED.,GB,Alleged Negligent Act
876,FOUND APHIDS IN 2 OUT OF 4 PACKS OF EARTHBOUND FARMS SPRING MIX.  BBD:  2023-03-26 TFSJ069A07A11:19,PA,Alleged foreign object in product
877,INJURED MEMBER SUSTAINED SWELLING TO THE LEFT HAND AFTER PULLING  OFFENDER IN HER DIRECTION BY THE MIDDLE OF THE HANDCUFFS TO       PREVENT A BATTERY. MEMBER RESPONDED TO AN ASSAULT IN              PROGRESS/DOMESTIC DISTURANCE.,NS,"Human Action, NOC"
878,CLAIMANT SUFFERED ACCIDENT DUE TO POTHOLE CAUSING BODILY INJURY.,GB,Pothole
879,"IV WAS STOPPED AT A RED LIGHT WHEN OV REAR ENDED IV. SEVERE       WHIPLASH, PAIN TO NECK, BOTH SHOULDERS, LOWER BACK, AND LEFT FOOT.",NS,Our vehicle struck in rear
880,DENIAL OF PAYOUT FOR 6 SPORTS WAGER TICKETS,GD,Alleged Negligent Act
881,A ROCK STRUCK THE VEHICLES WINDSHIELD CAUSING A CRACK IN THE          CENTER AND 3 CHIPS.D,GD,Road debris/road hazard
882,WATER DAMAGE DAMAGE CLAIM NUMBER 230123  031649,PB,e-Commerce
883,FIRE,RB,Fire - Auto
884,"SMALL PD IV DRIVER WAS EXITING CUSTOMER DRIVEWAY, WHEN REAR OF    VEHICLE MADE CONTACT WITH METAL GATE, BENDING IT. NO DAMAGE TO THEIV. NO INJURIES WERE REPORTED.",AL,Struck animal or object
885,"THE IV SLID INTO AN ACCIDENT THAT HAPPENED IN THE SNOW, AND OV1   COLLIDED INTO THE IV. THE IV COLLIDED WITH OV2 THAT WAS INVOLVED  IN THE FIRST ACCIDENT. THE IV WAS A TOTALED LOSS AND TOWED. THREE PASSENGERS FROM THE OV2 WERE INJURED AND TAKEN BY THE AMBULANCE.",AB,Sideswipe or lane change
886,CLAIMANT SLIPPED DUE TO A GREEN TOMATO ON THE FLOOR.,GB,Alleged Negligent Act
887,THE GUESTS HAD DINNER IN THE DINING AREA AND ONE GUEST BECAME VERYILL AFTERWARDS.,PA,Alleged contamination or spoilage
888,SMALL PD. THE IV DRIVER WAS SERVICING AT THE COMMERCIAL SITE WHEN THE IV STRUCK THE ELECTRIC WIRE WHICH DAMAGED THE ELECTRIC PANEL. THE IV HAS NO DAMAGE. NO INJURIES SUSTAINED.,AL,Struck/pulled down wires
889,"FEMALE PATRON ALLEGEDLY TRIPPED AND FELL IN THE FOOD COURT. TRANSPORTED TO BETH ISRAEL IN PLYMOUTH, MA FOR EVALUATION.",GB,Alleged improper maintenance - other
890,OV TRAVELLING THROUGH GREEN LIGHT WHEN IV RAN TRAFFIC LIGHT       COLLIDING INTO OV,AB,Intersection accident
891,"WHILE TRAVELING ON 155 IV WINDSHIELD WAS STRUCK BY A ROCK.DAMAGE      TO WINDSHIELD, NO INJURIES REPORTED.D",GD,Road debris/road hazard
892,"HOMEOWNER: DIANA KENNARD, CONTACT NUMBER: 832-744-7672. HOMEOWNER WAS CONTACTED BY ANSCO CUSTOMER CARE ON 12-05-2022, SHE REPORTED  THAT SHE HAD SEWER DAMAGE WITH A BACKUP THAT OCCURRED IN THE HOME ON 11-22-2022. SHE STATED THAT THE WATER BACKED UP AND FLOODED THEFLOORS AND WALLS. SHE STATED THAT SHE CONTACTED A PLUMBER (NAME   NOT PROVIDED NOR INVOICES) AND THEY SAW WHERE THE FIBER LINE HAD  WENT THROUGH HER SEWER LINE. SHE STATED THE PLUMBER MADE THE      REPAIRS TO THE SEWER LINE. S",GD,Alleged Negligent Act
893,"EE STATES CUTTING GREEN RATCHET STRAPS WITH BOX CUTTER, KNIFE     SLIPPED UPWARDS, R INDEX FINGER CAUSING CUT/BLEEDING.",NS,"Sharps(Needles,Razors,Scissors,Knife,etc.)"
894,CLAIMANT SUFFERED VEHICLE DAMAGE DUE TO BIN.,GD,Damage - vehicle
895,PEDESTRIAN CLAIMS BUS HIT HIS BIG TOE,AB,"Struck pedestrian, bicycle"
896,BUS HIT PARKED TPV                                                BUS REG: BV57XJE             TP REG:  LK64ULP,AD,Struck parked vehicle
897,"THE OV WAS DRIVING DOWN ON I 516 NEAR SAVANNAH, GA. THE IV WAS    COMING OFF THE RAMP FROM OGEECHEE RD. THE IV DID NOT YIELD WHEN   ENTERING I 516 AND PULLED OUT IN FRONTOF THE OV. THE OV STRUCK THEIV ON THE D/S. DAMAGE TO THE OV WAS TO THE FRONT END. THE OV      DRIVER SUSTAINED INJURIES. DAMAGE TO THE IV WAS NOT REPORTED.     INJURIES TO THE IV DRIVER WERE NOT REPORTED.",AD,Our vehicle turning left
898,V1 STRUCK PARKED UNOCC V2,AD,Struck parked vehicle
899,CLAIMANT DROVE OVER A POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole
900,UPS HEADED NORTH ON VERMONT WHEN UPS SLID ON ICE INTO A STOPPED   PICKUP TRUCK MAKING CONTACT WITH UPS RIGHT FRONT BUMPER AND OTHER LEFT REAR BUMPER.,AD,Struck vehicle in rear
901,BURST PIPES,RB,"Freezing of Plumbing, Heating, AC System"
902,THE MEMBER TO BUY THE BAR DESSERT AND SHE FOUND TRACES OF PLASTIC INSIDE,PA,Alleged foreign object in product
903,"HIGH WINDS AND HAILSTORM DAMAGED THREE VEHICLES THAT WERE PARKED  AT THE SCHOOL. THE TRANSIT, YUKON, AND TOYOTA ALL HAVE HAIL       DAMAGE.",AP,Hail
904,"VEH1 DRIVER LOOKED DOWN AND WHEN DRIVER LOOKED UP THE VEHICLE IN  FRONT, VEH2, HAD STOPPED AND VEH1 REAR ENDED VEH2.                FLEET 1208387, 1209154",AD,Struck vehicle in rear
905,RESIDENT IN 646 MATILDE CALLED STATING HER CAR WAS STOLEN FROM THE GARAGE SUNDAY NIGHT  MAYBE MONDAY MORNING. SHE WENT DOWN ON MONDA,GD,Theft
906,"2014 ACADIA AWD 1GKKVRKD4EJ179857 PASSENGER SIDE DAMAGE TO BUMPER,BOTH DOORS, AND REAR TAIL LIGHT. HUMMER LICENSE PLATE 152PP       DRIVER'S SIDE WHEEL WELL, DOOR, DRIVER'SSIDE PASSENGER DOOR,      MIRROR, RUNNING BOARD, AND POSSIBLE REAR BUMPER.",AB,Sideswipe or lane change
907,LOSARTAN 100MG 1PO QD PRESCRIBED; LOSARTAN 50 MG 1PO QD DISPENSED,PA,Alleged Negligent Act
908,THE IV WAS PARKED AND UNOCCUPIED ON THE SIDE OF THE STREET IN     FRONT OF THE TECH'S HOME WHEN THE CATALYTIC CONVERTER WAS STOLEN. THERE WERE NO REPORTED INJURIES.,AP,Theft
909,MEMBER STEPPED OUT OF HIS TRUCK AT GAS STATION AND STUMBLED       IMMEDIATELY. HE STUMBLES A FEW STEPS BEFORE FALLING.,GB,Ground/floor
